行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.95785,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,1.48997,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.19333,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.10585,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,1.41312,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,坊经济技术开发区,0.23014,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.04571,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.02466,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,0.01636,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.533,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
三河市,兴达YJ2020-007住宅项目,北成路北侧、成二路东侧,2.59245,城镇住宅用地,招标出让,70,房地产业,26168,三河市兴达房地产开发有限公司,1.001.50,2020年6月28日,2021年8月31日,2024年8月31日,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.0046,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,2.17891,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.73088,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,2.50109,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.16364,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
香河县,居住用地,绣水街北侧，永盛路东侧,1.468053,城镇住宅用地,拍卖出让,70,房地产业,7945,香河县华宇房地产开发有限公司,1.501.80,2020年6月28日,2021年6月28日,2024年6月27日,
