行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
 肥西县,  蚌埠荣盛伟业房地产开发有限公司、蚌埠荣盛徽业房地产开发有限公司（联合竞买）,  肥西县柏堰科技园文曲路与明珠大道交口西北角,5.7885,  城镇住宅用地,  拍卖出让,70,  房地产业,111920.6475,  蚌埠荣盛伟业房地产开发有限公司、蚌埠荣盛徽业房地产开发有限公司（联合竞买）?,  1.002.00,2020年5月28日,2021年1月28日,2023年1月27日,
 合肥市本级,  合肥旭辉企业管理有限公司,  肥西县上派镇灯塔路与创新大道交口东南侧,10.71284,  城镇住宅用地,  拍卖出让,70,  房地产业,161978.1408,  合肥旭辉企业管理有限公司?,  1.001.80,2020年5月28日,2021年1月28日,2023年1月27日,
 长丰县,  金峰路市民服务中心,  双凤经开区,3.3067,  公用设施用地,  划拨,  ,  中国共产党机关,  ,  安徽长丰双凤经济开发区管理委员会,  0.870.87,2020年5月28日,2020年10月1日,2021年10月1日,
 合肥市本级,  合肥暨生企业管理咨询有限公司,  肥西县柏堰科技园文曲路与柏堰湾路交口西南侧,7.1217,  城镇住宅用地,  拍卖出让,70,  房地产业,145496.331,  合肥暨生企业管理咨询有限公司?,  1.002.20,2020年5月28日,2021年1月28日,2023年1月27日,
 合肥市本级,  合肥海伦亮筑置业有限公司,  安巢经开区潜川路与金湖大道交口西南侧,5.384697,  城镇住宅用地,  拍卖出让,70,  房地产业,39981.3753,  合肥海伦亮筑置业有限公司?,  1.001.80,2020年5月28日,2021年1月28日,2023年1月28日,
 长丰县,  房地产,  双墩镇,4.44052,  城镇住宅用地,  拍卖出让,70,  房地产业,48025.81,  安徽业瑞企业管理有限公司?,  1.001.80,2020年5月28日,2021年1月27日,2022年1月26日,
 肥西县,  万翠路（翡翠路-金寨南路）,  上派镇,0.647595,  公路用地,  划拨,  ,  道路运输业,  ,  肥西县城乡建设投资有限公司,1,2020年5月27日,2020年6月30日,2021年12月31日,
 合肥市本级,  昆明市海伦堡房地产开发有限公司,  合肥新站区龙子湖路以北、铜陵北路以东,5.574245,  城镇住宅用地,  拍卖出让,70,  房地产业,74157.4836,  昆明市海伦堡房地产开发有限公司?,  1.001.80,2020年5月27日,2021年1月27日,2023年1月27日,
 肥西县,  审判法庭,  花岗镇,1.769776,  机关团体用地,  划拨,  ,  国家机构,  ,  肥西县人民法院,1,2020年5月27日,2020年6月30日,2021年12月31日,
 肥西县,  皋城路（大潜山路-创新大道）,  上派镇、肥西经开区,14.857,  公路用地,  划拨,  ,  道路运输业,  ,  肥西县城乡建设投资有限公司,1,2020年5月27日,2020年6月30日,2021年12月31日,
 肥西县,  向阳路,  官亭镇,0.668723,  公路用地,  划拨,  ,  道路运输业,  ,  官亭镇人民政府,1,2020年5月27日,2020年6月30日,2021年12月31日,
 肥西县,  王祠路,  官亭镇,4.519288,  公路用地,  划拨,  ,  道路运输业,  ,  官亭镇人民政府,1,2020年5月27日,2020年7月10日,2021年12月31日,
 肥西县,  团结安置点,  官亭镇,12.873657,  城镇住宅用地,  划拨,  ,  房地产业,  ,  官亭镇人民政府,1,2020年5月27日,2020年6月30日,2021年12月31日,
 合肥市本级,  兰州中海宏洋房地产开发有限公司,  合肥新站区九顶山路以南、淮南北路以西,6.124018,  城镇住宅用地,  拍卖出让,70,  房地产业,67057.9971,  兰州中海宏洋房地产开发有限公司?,  1.001.50,2020年5月27日,2021年1月27日,2022年1月27日,
 肥西县,  孙集路（江淮大道-紫蓬山路）,  上派镇、肥西经开区,10.81085,  公路用地,  划拨,  ,  道路运输业,  ,  肥西县城乡建设投资有限公司,1,2020年5月27日,2020年6月30日,2021年12月31日,
 肥西县,  合肥宜鑫汽车配件有限公司,  肥西经开区,1.199968,  工业用地,  挂牌出让,50,  其它,460.7877,  合肥宜鑫汽车配件有限公司?,1,2020年5月25日,2020年8月16日,2021年8月15日,
 肥西县,  合肥佰特橡塑科技有限公司,  肥西经开区,0.333333,  工业用地,  挂牌出让,50,  橡胶制品业,60.9999,  合肥佰特橡塑科技有限公司?,1,2020年5月25日,2020年8月16日,2021年8月15日,
 肥西县,  中节能（肥西）环保能源有限公司,  花岗镇,2.68013,  公用设施用地,  挂牌出让,50,  电力、热力的生产和供应业,1227.4995,  中节能（肥西）环保能源有限公司?,  0.501.00,2020年5月25日,2020年8月16日,2021年8月15日,
 肥西县,  安徽科环环境工程股份有限公司,  紫蓬镇,1.34614,  工业用地,  挂牌出让,50,  专业技术服务业,323.0736,  安徽科环环境工程股份有限公司?,1,2020年5月25日,2020年8月16日,2021年8月15日,
 肥东县,  安徽省雄峰起重机械有限公司高端智能化起重机研发,  店埠镇双桥社区山水路北侧,1.0269,  工业用地,  挂牌出让,50,  专用设备制造业,220.7835,  安徽省雄峰起重机械有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  合肥百泰机动车检测有限公司交通运输设备制造,  撮镇镇龙塘路与乐水路交口西南角,1.27,  工业用地,  挂牌出让,50,  专用设备制造业,279.4,  合肥百泰机动车检测有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  合肥市地方铁路投资建设有限公司物流仓储项目,  合肥循环经济示范园长松路南侧,0.4337,  工业用地,  挂牌出让,50,  仓储业,89.7759,  合肥市地方铁路投资建设有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  合肥市肥东金城液化气有限公司石油化工项目,  合肥循环经济示范园裕溪路与山流路交口西南角,1,  工业用地,  挂牌出让,50,  石油加工、炼焦及核燃料加工业,207,  合肥市肥东金城液化气有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  合肥市地方铁路投资建设有限公司物流仓储,  合肥循环经济示范园龙兴大道西侧,0.1778,  工业用地,  挂牌出让,50,  仓储业,36.8046,  合肥市地方铁路投资建设有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  安徽韵必达电子商务有限公司仓储、配送项目,  合肥循环经济示范园龙兴大道与长松路交口西南角,4.0814,  工业用地,  挂牌出让,50,  仓储业,844.8498,  安徽韵必达电子商务有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  安徽省万福林工业科技发展有限公司工矿仓储项目,  合肥循环经济示范园港口路西侧,2.5134,  工业用地,  挂牌出让,50,  仓储业,520.2738,  安徽省万福林工业科技发展有限公司?,1,2020年5月25日,2020年8月25日,2021年8月25日,
 肥东县,  安徽海辰药业有限公司药品生产制造,  合肥东部新城核心区醉翁路与峰回路交口东南侧,12,  工业用地,  挂牌出让,50,  医药制造业,2580,  安徽海辰药业有限公司?,1,2020年5月25日,2020年8月25日,2022年8月25日,
 肥西县,  安徽佛朗斯机械有限公司,  肥西经开区,11.612618,  工业用地,  挂牌出让,50,  通用设备制造业,2125.1091,  安徽佛朗斯机械有限公司?,1.2,2020年5月22日,2020年8月16日,2022年8月15日,
 长丰县,  年产1200万套汽车及家用电器部件生产线建设项目,  岗集镇,1.2075,  工业用地,  挂牌出让,50,  通用设备制造业,217.35,  合肥茂源机械制造有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  年产200套汽车检测设备及10万套车机项目,  双凤经开区,3.3317,  工业用地,  挂牌出让,50,  通用设备制造业,599.706,  安徽大雷汽车检测设备有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  建筑起重机械设备研发制造建设项目,  水湖镇,1.6667,  工业用地,  挂牌出让,50,  通用设备制造业,265.0053,  安徽运捷起重设备制造有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  年产30套件定点配套用智慧包装及包装制品生产,  吴山镇,0.64319,  工业用地,  挂牌出让,50,  通用设备制造业,102.2672,  安徽睐格新材料科技有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  中外合资年产5万吨无公害果蔬深加工项目,  岗集镇,2.6267,  工业用地,  挂牌出让,50,  农副食品加工业,433.4055,  安徽德尚广食品有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  合肥新华北城外国语学校项目,  双墩镇,8.7844,  教育用地,  挂牌出让,50,  教育业,2767.086,  安徽新华控股集团投资有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  建设“中国南山 合肥岗集综合交通物流港”项目,  岗集镇,18.0357,  仓储用地,  挂牌出让,50,  仓储业,2975.8905,  安徽赤湾东方智慧物流港开发有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  年产1万台电梯和5000套自动停车库建设项目,  岗集镇,2,  工业用地,  挂牌出让,50,  通用设备制造业,360,  合肥三菱电梯有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 长丰县,  建设“中国南山 合肥岗集综合交通物流港”项目,  岗集镇,7.8047,  仓储用地,  挂牌出让,50,  仓储业,1287.7755,  安徽赤湾东方智慧物流港开发有限公司?,1,2020年5月20日,2020年9月20日,2021年9月20日,
 肥东县,  肥东县气象局气象预警中心建设项目,  店埠镇青春社区境内,0.1501,  公用设施用地,  划拨,  ,  道路运输业,30.2106,  肥东县气象局,1,2020年5月18日,2020年8月18日,2022年8月18日,
