行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
黄山市本级,合肥梁硕企业管理咨询有限公司,屯溪区黎阳镇，区间路东侧、西海路西侧、横江西路北侧,3.462454,城镇住宅用地,挂牌出让,70,房地产业,28669.1191,合肥梁硕企业管理咨询有限公司,1.001.80,2020年6月3日,2020年10月13日,2022年10月13日,
黄山市本级,黄山锦绣文旅有限公司,屯溪区阳湖镇，东至黄山盛华物房地产开发有限公司用地，南至八一大道，西至洽阳路，北至黄山盛华物房地产开发有限公司用地,1.876006,城镇住宅用地,挂牌出让,70,房地产业,21105.0675,黄山锦绣文旅有限公司,1.001.60,2020年6月3日,2020年10月13日,2022年4月13日,
歙县,歙县北岸35千伏输变电工程,北岸镇北岸村,0.21241,公用设施用地,划拨,,其它,42.4826,国网安徽省电力有限公司歙县供电公司,,2020年5月29日,,,
黄山市本级,横江公交首末站项目（一期）,屯溪区横江桥南桥头、率水桥西侧,0.150865,交通服务场站用地,划拨,,城市公共交通业,33.9447,黄山市公共交通有限公司,,2020年5月25日,2020年8月25日,2022年5月25日,
黄山区,谭家桥镇南部组团B-08-18地块,谭家桥镇,2.292958,旅馆用地,挂牌出让,40,房地产业,2064,北京城建投资发展股份有限公司,1.2,2020年5月25日,2021年8月25日,2024年8月25日,
黄山区,谭家桥镇南部组团B-07-06地块,谭家桥镇,2.887945,城镇住宅用地,挂牌出让,70,房地产业,5631.6,北京城建黄山投资发展有限公司,1.011.20,2020年5月25日,2021年8月25日,2024年8月25日,
黄山区,谭家桥镇南部组团B-08-12地块,谭家桥镇,3.713294,旅馆用地,拍卖出让,40,房地产业,3342,北京城建投资发展股份有限公司,1.2,2020年5月25日,2021年8月25日,2024年8月25日,
黄山区,谭家桥镇南部组团B-05-09地块,谭家桥镇,4.912615,城镇住宅用地,挂牌出让,70,房地产业,9579.7,北京城建黄山投资发展有限公司,1.011.20,2020年5月25日,2021年8月25日,2024年8月25日,
黄山区,谭家桥镇南部组团B-05-04地块,谭家桥镇,10.642825,城镇住宅用地,挂牌出让,70,房地产业,20753.2,北京城建黄山投资发展有限公司,1.011.20,2020年5月25日,2021年8月25日,2024年8月25日,
歙县,荣旺达置业,徽城镇七川村,5.009883,城镇住宅用地,挂牌出让,批发市场用地40年; 城镇住宅用地70年;,房地产业,18796.8806,荣旺达（歙县）置业发展有限公司,1.002.80,2020年5月22日,2021年5月20日,2024年5月20日,
歙县,荣旺达置业,徽城镇七川村,4.525249,城镇住宅用地,挂牌出让,70,房地产业,20730.1657,荣旺达（歙县）置业发展有限公司,1.002.00,2020年5月22日,2021年5月20日,2024年5月20日,
黟县,玛川新苑,渔亭镇楠玛村,2.2409,城镇住宅用地,挂牌出让,其他商服用地40年; 城镇住宅用地70年;,房地产业,1393.8398,黄山市东升置业有限公司黟县分公司,1.001.20,2020年5月21日,2021年5月18日,2023年5月18日,
黟县,东榕酒店总部,碧阳镇马道村,2.1321,其他商服用地,挂牌出让,40,房地产业,1257.939,黟县东榕置业有限责任公司,0.001.80,2020年5月21日,2021年5月18日,2024年5月18日,
黄山市本级,黄山中创精密制造有限公司,九龙低碳经济园区，呈祥路西侧、凤山路北侧,1.86287,工业用地,挂牌出让,50,通讯设备、计算机及其他电子设备制造业,335.3166,黄山中创精密制造有限公司,1.2,2020年5月21日,2020年9月30日,2022年3月30日,
黟县,影视酒店,宏村镇龙江村,1.0508,旅馆用地,挂牌出让,40,文化艺术业,572.9748,黄山源泰文化发展有限责任公司,0.601.00,2020年5月21日,2021年5月18日,2023年5月18日,
黟县,青岭山茶厂,黟县渔亭工业园,1.1266,工业用地,挂牌出让,50,农副食品加工业,130.6856,黄山市青岭山生态农业有限公司,1.000.00,2020年5月21日,,,
